Year,doy,Development_Stage,LAI,Cumulative_Thermal_Unit,LiveRoot_Dry_Weight,Shoot_Dry_Weight,weight_roots_living,Leaf_Carbon,Stem_Carbon,Seed_Carbon,Root_Carbon,Nitrogen_Leaf,Nitrogen_Stem,Nitrogen_Seed,Nitrogen_Root,Nitrogen_uptake,Respiration_Uptakes,Maintenance_Respiration,Cumulative_Respiration,Potential_Canopy_Photosynthesis,Actual_Canopy_Photosynthesis,Potential_Canopy_Temp,Actual_Canopy_Temp,potential_evap_daily,Actual_Daily_Evaporation,Potential_Canopy_Transpiration,Actual_Canopy_Transpiration,Plant_Height,available_soluble_N,Root_Depth,average_soil_temperature,Current_Soil_Moisture_Top_Layer
2023.0,250.0,3.15,1.691,84.52,0.757,1108.809,0.005,31.030,75.326,-9.960,0.361,0.249,2.430,-1.292,0.004,0.000,0.128,0.133,590.047,24.27554,24.37922,19.40506,19.33737,1.11356,0.88817,2.02815,2.02815,0.456,0.000,5.000,13.821,0.1018, 
2023.0,251.0,3.18,1.691,85.12,0.752,1123.702,0.005,31.030,75.326,-9.960,0.358,0.242,2.430,-1.292,0.004,0.000,0.133,0.128,590.176,25.17099,25.34158,17.76699,17.77077,0.56396,0.56396,1.27245,1.27245,0.456,0.000,5.000,13.810,0.0991, 
2023.0,252.0,3.20,1.691,85.64,0.746,1139.188,0.005,31.030,75.326,-9.960,0.356,0.234,2.430,-1.292,0.004,0.000,0.123,0.133,590.311,23.67036,23.47400,15.59212,15.57867,1.38474,0.98594,2.05642,2.04239,0.456,0.000,5.000,12.953,0.0950, 
2023.0,253.0,3.23,1.691,86.32,0.741,1153.525,0.005,31.030,75.326,-9.960,0.353,0.227,2.430,-1.292,0.004,0.000,0.133,0.123,590.435,25.26460,25.29625,18.06591,17.94907,0.88157,0.65670,2.09915,2.09915,0.456,0.000,5.000,13.209,0.0906, 
2023.0,254.0,3.25,1.691,86.87,0.736,1168.987,0.005,31.030,75.326,-9.960,0.351,0.220,2.430,-1.292,0.004,0.000,0.124,0.133,590.569,23.47593,23.57468,15.26171,15.18825,0.93419,0.70480,1.66609,1.66609,0.456,0.000,5.000,12.804,0.0873, 
2023.0,255.0,3.27,1.691,87.31,0.731,1183.385,0.005,31.030,75.326,-9.960,0.348,0.214,2.430,-1.292,0.004,0.000,0.142,0.124,590.693,26.90326,26.96925,15.65503,15.72812,0.77334,0.58031,1.22019,1.22019,0.456,0.000,5.000,12.463,0.0858, 
2023.0,256.0,3.29,1.691,87.76,0.726,1199.875,0.005,31.030,75.326,-9.960,0.346,0.207,2.430,-1.292,0.004,0.000,0.131,0.142,590.836,24.86325,24.92527,13.65408,13.72036,0.77682,0.58971,1.40387,1.40387,0.456,0.000,5.000,12.057,0.0834, 
2023.0,257.0,3.31,1.691,88.34,0.721,1215.097,0.005,31.030,75.326,-9.960,0.344,0.201,2.430,-1.292,0.004,0.000,0.130,0.131,590.968,24.69742,24.78119,15.89249,15.79396,0.81532,0.52122,1.72092,1.72092,0.456,0.000,5.000,12.176,0.0800, 
2023.0,258.0,3.34,1.691,88.97,0.716,1230.238,0.005,31.030,75.326,-9.960,0.341,0.195,2.430,-1.292,0.004,0.000,0.136,0.130,591.099,26.32381,25.76693,18.25584,18.18192,0.86772,0.46762,1.81137,1.76548,0.456,0.000,5.000,12.849,0.0771, 
2023.0,259.0,3.37,1.691,89.67,0.711,1245.985,0.005,31.030,75.326,-9.960,0.339,0.189,2.430,-1.292,0.004,0.000,0.108,0.136,591.235,21.76182,20.63284,21.78136,24.16865,0.63408,0.36062,1.62918,1.62918,0.456,0.000,5.000,15.018,0.0747, 
2023.0,260.0,3.40,1.691,90.40,0.706,1258.575,0.005,31.030,75.326,-9.960,0.337,0.184,2.430,-1.292,0.004,0.000,0.081,0.108,591.344,26.52187,15.50798,22.87736,23.48855,1.78184,0.48472,2.58969,1.46555,0.456,0.000,5.000,15.878,0.0750, 
2023.0,261.0,3.43,1.691,91.09,0.702,1268.034,0.005,31.030,75.326,-9.960,0.335,0.178,2.430,-1.292,0.003,0.000,0.110,0.081,591.426,27.62669,20.91656,20.21707,20.51872,1.12743,0.42830,1.99123,1.45894,0.456,0.000,5.000,16.085,0.0738, 
2023.0,262.0,3.47,1.691,91.83,0.697,1280.832,0.005,31.030,75.326,-9.960,0.332,0.173,2.430,-1.292,0.003,0.000,0.100,0.110,591.536,28.43490,19.04058,21.78235,23.02665,0.94747,0.32824,2.29174,1.67238,0.456,0.000,5.000,17.181,0.0725, 
2023.0,263.0,3.49,1.691,92.45,0.693,1292.460,0.004,31.030,75.326,-9.960,0.330,0.168,2.430,-1.292,0.003,0.000,0.154,0.100,591.637,28.86398,29.19143,17.95135,18.12176,0.55474,0.38788,0.91587,0.91587,0.456,0.000,5.000,16.951,0.0714, 
2023.0,264.0,3.51,1.691,92.94,0.688,1310.329,0.004,31.030,75.326,-9.960,0.328,0.163,2.430,-1.292,0.003,0.000,0.146,0.154,591.792,27.65602,27.81265,15.57523,15.64368,0.42623,0.38109,0.51942,0.51942,0.456,0.000,5.000,15.863,0.0713, 
2023.0,265.0,3.54,1.691,93.50,0.684,1327.318,0.004,31.030,75.326,-9.960,0.326,0.158,2.430,-1.292,0.003,0.000,0.112,0.146,591.938,24.56297,21.42819,14.49217,14.60859,0.94838,0.41632,1.45568,1.26281,0.456,0.000,5.000,15.250,0.0687, 
2023.0,266.0,3.56,1.691,94.12,0.679,1340.390,0.004,31.030,75.326,-9.960,0.324,0.153,2.430,-1.292,0.003,0.000,0.069,0.112,592.051,27.41630,13.14713,18.34264,19.21036,1.44311,0.34009,2.40908,1.13088,0.456,0.000,5.000,15.134,0.0673, 
2023.0,267.0,3.60,1.691,94.82,0.675,1348.396,0.004,31.030,75.326,-9.960,0.322,0.148,2.430,-1.292,0.003,0.000,0.058,0.069,592.120,28.07814,11.10900,20.67851,21.67279,1.80742,0.33621,2.72515,1.01830,0.456,0.000,5.000,15.660,0.0683, 
2023.0,268.0,3.62,1.691,95.37,0.671,1355.177,0.004,31.030,75.326,-9.960,0.320,0.144,2.430,-1.292,0.003,0.000,0.079,0.058,592.179,26.97750,14.97582,16.29213,17.06668,1.07144,0.30476,2.03018,1.12955,0.456,0.000,5.000,15.042,0.0689, 
2023.0,269.0,3.64,1.691,95.95,0.667,1364.340,0.004,31.030,75.326,-9.960,0.318,0.140,2.430,-1.292,0.003,0.000,0.086,0.079,592.258,28.68829,16.37455,18.27445,18.91424,1.26686,0.33570,2.10934,1.11164,0.456,0.000,5.000,14.955,0.0673, 
2023.0,270.0,3.67,1.691,96.55,0.662,1374.350,0.004,31.030,75.326,-9.960,0.316,0.135,2.430,-1.292,0.003,0.000,0.072,0.086,592.344,27.68030,13.77362,16.73095,17.52426,1.16473,0.29961,2.07548,1.03505,0.456,0.000,5.000,14.822,0.0658, 
2023.0,271.0,3.69,1.691,96.90,0.658,1382.757,0.004,31.030,75.326,-9.960,0.314,0.131,2.430,-1.292,0.003,0.000,0.124,0.072,592.417,23.25357,23.45452,10.84384,10.87908,0.37354,0.35249,0.30398,0.30398,0.456,0.000,5.000,13.602,0.0661, 
2023.0,272.0,3.71,1.691,97.55,0.654,1397.119,0.004,31.030,75.326,-9.960,0.312,0.127,2.430,-1.292,0.003,0.000,0.104,0.124,592.541,30.29786,19.87573,18.33941,18.84907,0.85622,0.27711,1.50433,0.89638,0.456,0.000,5.000,14.370,0.0673, 
2023.0,273.0,3.74,1.691,98.10,0.650,1409.252,0.004,31.030,75.326,-9.960,0.310,0.124,2.430,-1.292,0.003,0.000,0.056,0.104,592.646,26.98657,10.72332,15.97941,16.68975,1.70884,0.35986,2.34268,0.93081,0.456,0.000,5.000,13.908,0.0667, 
2023.0,274.0,3.77,1.691,98.75,0.646,1415.774,0.004,31.030,75.326,-9.960,0.308,0.120,2.430,-1.292,0.003,0.000,0.050,0.056,592.702,25.10483,9.53435,20.91130,26.73207,0.55819,0.18080,1.84948,1.17312,0.456,0.000,5.000,15.404,0.0662, 
2023.0,275.0,3.79,1.691,99.28,0.642,1421.596,0.004,31.030,75.326,-9.960,0.306,0.116,2.430,-1.292,0.003,0.000,0.120,0.050,592.752,26.97418,22.80466,16.60827,16.78453,0.68462,0.31640,0.94701,0.69774,0.456,0.000,5.000,15.017,0.0671, 
2023.0,276.0,3.81,1.691,99.83,0.638,1435.573,0.004,31.030,75.326,-9.960,0.305,0.113,2.430,-1.292,0.003,0.000,0.067,0.120,592.873,28.41259,12.71350,16.19004,16.79374,1.51623,0.34042,2.14956,0.91067,0.456,0.000,5.000,14.647,0.0657, 
2023.0,277.0,3.83,1.691,100.32,0.635,1443.308,0.004,31.030,75.326,-9.960,0.303,0.109,2.430,-1.292,0.003,0.000,0.047,0.067,592.940,25.51626,8.86951,14.70964,15.34686,2.07098,0.37036,2.20445,0.74636,0.456,0.000,5.000,13.960,0.0642, 
2023.0,278.0,3.86,1.691,100.88,0.631,1448.716,0.004,31.030,75.326,-9.960,0.301,0.106,2.430,-1.292,0.003,0.000,0.039,0.047,592.986,25.76654,7.42963,15.90539,17.14134,1.98737,0.30400,2.50759,0.72308,0.456,0.000,5.000,13.866,0.0632, 
2023.0,279.0,3.89,1.691,101.58,0.627,1453.251,0.004,31.030,75.326,-9.960,0.299,0.103,2.430,-1.292,0.003,0.000,0.044,0.039,593.025,30.14462,8.36378,20.46817,21.64162,1.85309,0.25183,2.82172,0.72020,0.456,0.000,5.000,14.815,0.0629, 
2023.0,280.0,3.92,1.691,102.26,0.623,1458.364,0.004,31.030,75.326,-9.960,0.297,0.100,2.430,-1.292,0.003,0.000,0.055,0.044,593.069,30.77100,10.49419,17.95424,19.78664,0.93601,0.20234,1.92138,0.76359,0.456,0.000,5.000,15.823,0.0624, 
2023.0,281.0,3.94,1.691,102.73,0.620,1464.783,0.004,31.030,75.326,-9.960,0.296,0.097,2.430,-1.292,0.003,0.000,0.089,0.055,593.125,25.11913,16.98152,15.52728,15.92256,0.81732,0.27367,1.11044,0.53435,0.456,0.000,5.000,15.046,0.0621, 
2023.0,282.0,3.96,1.691,103.34,0.616,1475.180,0.004,31.030,75.326,-9.960,0.294,0.094,2.430,-1.292,0.003,0.000,0.082,0.089,593.214,33.34967,15.63992,19.53513,20.29947,1.38105,0.23349,1.93188,0.61661,0.456,0.000,5.000,15.496,0.0656, 
2023.0,283.0,3.99,1.691,104.01,0.613,1484.732,0.004,31.030,75.326,-9.960,0.292,0.091,2.430,-1.292,0.003,0.000,0.066,0.082,593.297,32.20041,12.62407,19.16664,19.76785,1.53815,0.30128,2.24541,0.79476,0.456,0.000,5.000,15.831,0.0640, 
2023.0,284.0,4.02,1.691,104.58,0.609,1492.436,0.003,31.030,75.326,-9.960,0.291,0.088,2.430,-1.292,0.003,0.000,0.062,0.066,593.363,28.65402,11.87285,16.05210,16.63300,1.32434,0.27811,1.83828,0.69482,0.456,0.000,5.000,15.474,0.0636, 
2023.0,285.0,4.05,1.691,105.23,0.606,1499.688,0.003,31.030,75.326,-9.960,0.289,0.086,2.430,-1.292,0.003,0.000,0.035,0.062,593.426,28.57854,6.72966,19.26265,20.29403,2.47689,0.30439,2.88050,0.64051,0.456,0.000,5.000,15.694,0.0643, 
2023.0,286.0,4.07,1.691,105.73,0.602,1503.783,0.003,31.030,75.326,-9.960,0.287,0.083,2.430,-1.292,0.003,0.000,0.059,0.035,593.461,30.27811,11.20384,15.82992,16.77787,1.34599,0.26445,2.13975,0.74092,0.456,0.000,5.000,15.053,0.0675, 
2023.0,287.0,4.10,1.691,106.41,0.599,1510.643,0.003,31.030,75.326,-9.960,0.286,0.081,2.430,-1.292,0.003,0.000,0.121,0.059,593.520,35.52139,23.01544,20.60109,20.92315,1.00455,0.34933,1.39584,0.79078,0.456,0.000,5.000,15.805,0.0658, 
2023.0,288.0,4.12,1.691,106.96,0.595,1524.744,0.003,31.030,75.326,-9.960,0.284,0.078,2.430,-1.292,0.003,0.000,0.073,0.121,593.642,30.18284,14.00985,15.58427,16.07280,1.25438,0.31343,1.76825,0.77206,0.456,0.000,5.000,15.304,0.0643, 
2023.0,289.0,4.15,1.691,107.54,0.592,1533.275,0.003,31.030,75.326,-9.960,0.283,0.076,2.430,-1.292,0.003,0.000,0.043,0.073,593.715,29.37634,8.20944,17.34273,18.59246,1.69745,0.27945,2.52259,0.72078,0.456,0.000,5.000,15.293,0.0638, 
2023.0,290.0,4.17,1.691,107.98,0.589,1538.272,0.003,31.030,75.326,-9.960,0.281,0.074,2.430,-1.292,0.003,0.000,0.095,0.043,593.758,29.31110,18.04339,14.04824,14.45059,0.86055,0.28395,1.19180,0.59918,0.456,0.000,5.000,14.460,0.0660, 
2023.0,291.0,4.19,1.691,108.56,0.586,1549.329,0.003,31.030,75.326,-9.960,0.280,0.071,2.430,-1.292,0.003,0.000,0.062,0.095,593.854,31.94692,11.74845,16.97175,18.10668,1.33460,0.28467,2.24349,0.82214,0.456,0.000,5.000,14.696,0.0645, 
2023.0,292.0,4.22,1.691,109.19,0.582,1556.487,0.003,31.030,75.326,-9.960,0.278,0.069,2.430,-1.292,0.003,0.000,0.046,0.062,593.915,29.26685,8.76057,17.39503,18.20602,1.80536,0.30692,2.32886,0.68553,0.456,0.000,5.000,15.027,0.0663, 
2023.0,293.0,4.25,1.691,109.84,0.579,1561.830,0.003,31.030,75.326,-9.960,0.276,0.067,2.430,-1.292,0.003,0.000,0.066,0.046,593.961,30.31329,12.55793,18.33108,18.95484,1.54286,0.32402,2.12039,0.77277,0.456,0.000,5.000,15.392,0.0651, 
2023.0,294.0,4.27,1.691,110.45,0.576,1569.516,0.003,31.030,75.326,-9.960,0.275,0.065,2.430,-1.292,0.003,0.000,0.092,0.066,594.028,30.02598,17.52638,17.38113,17.96506,0.97226,0.29610,1.44227,0.71831,0.456,0.000,5.000,15.578,0.0639, 
2023.0,295.0,4.30,1.691,111.08,0.573,1580.241,0.003,31.030,75.326,-9.960,0.274,0.063,2.430,-1.292,0.003,0.000,0.052,0.092,594.120,33.77325,9.90965,18.68302,19.73253,1.69987,0.26248,2.59431,0.67919,0.456,0.000,5.000,15.797,0.0628, 
2023.0,296.0,4.32,1.691,111.65,0.570,1586.271,0.003,31.030,75.326,-9.960,0.272,0.061,2.430,-1.292,0.003,0.000,0.037,0.052,594.172,30.93346,7.13119,16.05750,16.76158,2.13225,0.28573,2.49315,0.56317,0.456,0.000,5.000,15.426,0.0633, 
2023.0,297.0,4.35,1.691,112.22,0.567,1590.619,0.003,31.030,75.326,-9.960,0.271,0.059,2.430,-1.292,0.003,0.000,0.050,0.037,594.209,27.61271,9.44292,15.70581,16.39146,1.42572,0.28132,1.83189,0.60671,0.456,0.000,5.000,15.238,0.0623, 
2023.0,298.0,4.38,1.691,112.87,0.564,1596.397,0.003,31.030,75.326,-9.960,0.269,0.058,2.430,-1.292,0.003,0.000,0.047,0.050,594.259,33.26703,8.89746,18.93307,22.17682,0.94252,0.21141,1.61919,0.61665,0.456,0.000,5.000,17.076,0.0615, 
2023.0,299.0,4.40,1.691,113.47,0.561,1601.831,0.003,31.030,75.326,-9.960,0.268,0.056,2.430,-1.292,0.003,0.000,0.034,0.047,594.306,31.34713,6.52680,17.38439,18.37452,1.98848,0.24114,2.60741,0.52511,0.456,0.000,5.000,16.671,0.0606, 
2023.0,300.0,4.43,1.691,114.02,0.558,1605.812,0.003,31.030,75.326,-9.960,0.266,0.054,2.430,-1.292,0.003,0.000,0.065,0.034,594.340,36.04361,12.35486,18.65528,19.51622,1.46733,0.20871,2.10531,0.48506,0.456,0.000,5.000,16.380,0.0595, 
