YEAR,doy,TMMX,TMMN,PRECTOTCORR,U2,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT
2023,206,46.98,28.94,0.08,1.83,28.03,152.75
2023,207,46.8,29.98,0.06,2.86,28.4,152.58
2023,208,46.15,29.3,1.6,2.47,27.91,151.39
2023,209,43.64,31.8,1.03,2.4,27.14,146.98
2023,210,45.3,30.86,0.47,1.81,25.45,138.47
2023,211,43.19,29.73,0.72,2.04,20.13,111.15
2023,212,40.76,26.62,3.31,1.71,27.95,153.03
2023,213,42.01,27.52,0.02,1.37,27.21,148.38
2023,214,43.3,29.74,0,1.89,27.67,150.42
2023,215,43.89,28.01,0,1.91,29.15,155.3
2023,216,44.99,26.03,0,1.18,29.75,155.8
2023,217,46.65,28.2,0,2.08,29.14,154.23
2023,218,44.77,28.67,0,2.64,27.77,149.85
2023,219,43.99,30.37,0.05,2.79,27.51,149.89
2023,220,42.25,30.57,0.9,2.81,26.71,146.14
2023,221,42.79,28.26,0.42,2.47,27.18,148.77
2023,222,41.7,28.23,0.23,2.19,27.5,150.27
2023,223,40.68,27.81,0.5,1.87,26.85,145.7
2023,224,41.82,27.92,0.53,1.29,27.93,150.35
2023,225,42.48,27.93,0.2,1.41,25,134.73
2023,226,42.08,28.16,0.26,0.95,18.24,100.54
2023,227,43.37,29.58,0.1,2.32,24.78,135.83
2023,228,44.95,29.32,0.24,1.65,23.62,128.79
2023,229,44.89,28.92,0.53,1.57,23.92,131.16
2023,230,40.61,29.23,0.42,2.1,21.06,115.92
2023,231,35.77,26.98,0.32,2.73,11.78,67.65
2023,232,37.69,25.08,0.87,5.09,9.88,56.73
2023,233,36.29,24.44,2.68,1.38,11.75,66.65
2023,234,39.04,25.3,4.19,1.35,19.98,109.55
2023,235,38.98,26.63,0.2,1.88,23.7,128.31
2023,236,40.48,26.48,0.03,1.43,23.51,127.66
2023,237,43.33,28.33,0.01,1.17,26,139.86
2023,238,43.33,29.3,0.89,1.45,24.78,132.85
2023,239,43.98,29.48,0.06,1.59,24.9,135.24
2023,240,46.36,30.45,0.1,1.05,25.81,139.32
2023,241,45.94,30.01,0.23,1.75,25.97,139.92
2023,242,44.33,29.04,0.17,1.75,25.58,137.66
2023,243,40.74,29.9,3.81,2.44,23.41,127.54
2023,244,33.33,27.19,4.46,1.84,10.62,60.55
2023,245,35.75,25.46,0.72,1.41,19.55,107.59
2023,246,38.69,24.73,0.01,1.41,25.03,135.21
2023,247,39.31,24.53,0,2.16,25.96,136.42
2023,248,39.87,21.12,0,2.12,26.52,136.49
2023,249,41.22,23.35,0,1.43,26.12,134.32
2023,250,42.45,24.79,0,1.53,25.22,133
2023,251,42.96,26.55,0,1.91,22.87,121.5
2023,252,44.38,28.58,0,1.6,24.32,129.29
2023,253,42.71,29.32,0,1.58,16.93,90.79
2023,254,40.07,26.8,0.18,2.61,22.01,119.59
2023,255,38.51,28.05,4.14,1.33,18.75,102.85
2023,256,36.76,25.06,5.36,1.51,23.03,123.6
2023,257,37.26,21.3,0.47,1.08,24.41,128.63
2023,258,38.5,22.3,0,1.01,24.83,127.72
2023,259,39.74,21.97,0,1.04,24.71,124.34
2023,260,40.01,22.26,0,1.55,24.53,124.36
2023,261,39.03,22.44,0,1.89,24.71,125.41
2023,262,38.05,20.12,0,1.52,24.33,124.91
2023,263,38.29,22.15,0,2.61,17.55,92.16
2023,264,36.98,19.62,0,2.65,23.98,121.6
2023,265,36.21,21.15,0,1.89,17.45,91.2
2023,266,36.23,21.29,0,1.81,14.45,78.3
2023,267,37.64,23.07,0,1.01,22.98,119.45
2023,268,39.44,21.87,0,1.38,23.02,118.73
2023,269,40.35,23.29,0,1.42,23.33,119.23
2023,270,40.72,22.64,0,1.27,22.67,116.3
2023,271,39.95,22.54,0,2.12,22.51,115.4
2023,272,39.55,19.28,0,2.03,22.93,116.83
2023,273,36.69,20.04,0,4.15,22.46,115.11
2023,274,32.28,18.02,0,2.68,20.85,109.49
2023,275,30.5,17.46,0,1.78,20.89,108.98
2023,276,31.47,16.77,0,1.18,21.77,112.7
2023,277,33.84,17.46,0,1.04,21.76,111.23
2023,278,37.07,17.7,0,1.35,21.44,109.55
2023,279,40.3,19.94,0,2.05,21.21,108.63
2023,280,39.17,24.81,0,3.67,19.8,103.16
2023,281,38.1,24.48,0.19,2.03,19.26,101.96
2023,282,38.01,23.07,0.32,1.66,19.32,102.71
2023,283,36.51,21.2,0.01,1.65,20.14,105.05
2023,284,33.54,20.33,0,3.08,20.49,105.18
2023,285,31.86,17.8,0,1.47,20.58,104.25
2023,286,32.55,16.96,0,1.43,19.53,98.73
2023,287,34.18,19.17,0,1.02,19.85,101.36
2023,288,38.24,18.39,0,1.6,19.37,100.3
2023,289,39.63,21.82,0,1.89,19.21,99.6
2023,290,38.65,21.26,0,1.57,18.8,97.37
2023,291,38,21.59,0,1.33,18.37,94.05
2023,292,39.62,20.78,0,1.37,18.71,95.98
2023,293,39.99,20.8,0,1.67,18.67,95.35
2023,294,38.43,21.17,0,1.43,18.09,94.84
2023,295,36.88,19.52,0,1.71,18.45,95.1
2023,296,31.8,18.33,0,2.11,18.64,94.84
2023,297,29.29,16.95,1.29,1.32,17.87,92.25
2023,298,29.1,15.94,0.11,1.45,17.46,90.88
2023,299,28.89,16.94,0,1.29,16.41,85.48
2023,300,31.27,16.93,0,1.31,17.38,91.3
2023,301,30.58,15.83,0,2.16,17.94,90.47
2023,302,26.39,13.44,0,1.54,18.16,89.37
2023,303,27.01,9.86,0,2.81,17.78,88.98
2023,304,27.9,11.62,0,3.7,17.67,87.7
2023,305,28.86,11.82,0,2.56,17.62,87.09
2023,306,29.83,11.26,0,1.47,17.27,86.37
2023,307,30.83,12.24,0,1.4,17.11,85.07
2023,308,32.77,12.89,0,1.53,17.03,84.2
2023,309,34.38,14.75,0,1.47,16.13,83.37
2023,310,34.44,17.3,0,1.7,16.43,83.54
2023,311,32.41,15.81,0,2.34,16.44,83.05
2023,312,26.2,11.9,0,1.61,16.62,82.28
2023,313,24.29,11.86,0,0.99,16.11,80.16
2023,314,24.51,10.98,0,1.16,16.2,80.09
2023,315,26.25,10.73,0,2.05,15.61,78.8
2023,316,28.68,12.12,0,2.72,15.78,78.94
2023,317,30.68,14.81,0,2.7,15.03,76.56
2023,318,28.72,16.99,0,2.01,14.08,71.91
2023,319,29.98,17.78,0,2.11,9.33,49.1
2023,320,26.49,17.49,0.46,0.96,6.73,36.69
2023,321,27.1,15.48,4.52,1.16,13.88,72.63
2023,322,23.85,14.78,4.83,1.3,13,68.17
2023,323,22.69,11.1,0.05,2.8,13.94,71.08
2023,324,22.08,9.08,0,1.77,14.85,74.55
2023,325,25.51,9.31,0,2.42,14.75,73.12
2023,326,24.4,9.44,0,2.02,14.8,73.82
2023,327,21.86,8.72,0,1.98,10.57,53.66
2023,328,22.67,9.24,0.04,2.75,11.83,59.83
2023,329,20.31,10.84,0.58,1.16,14.42,70.62
2023,330,21.84,5.76,0,1.88,13.03,64.57
2023,331,22.77,10.98,0,2,11.15,55.98
2023,332,23.89,11.27,0,1.71,12.52,63.34
2023,333,22.21,9.15,0,1.88,10.82,54.62
2023,334,18.01,8.94,3.73,2.21,9,45.98
2023,335,17.37,10.31,1.8,0.92,12.27,62.11
2023,336,18.94,6.91,0,1.14,13.26,65.76
2023,337,19.66,5.62,0,1.23,12.59,62.68
2023,338,21.01,6.84,0,1.33,10.22,52.4
2023,339,27.48,8.21,0,1.98,13.43,67.55
2023,340,27.33,9.69,0,1.96,13.33,66.8
2023,341,24.58,11.76,0,1.39,13.31,65.6
2023,342,21.64,7.74,0,1.07,13.36,65.55
2023,343,19.12,3.82,0,2.55,13.78,66.93
2023,344,22.03,4.39,0,2.95,13.71,66.69
2023,345,21.72,4.85,0,1.87,10.06,50.38
2023,346,21.41,9.59,0,2,9.12,44.88
2023,347,20.79,6.63,0,1.56,13.19,63.9
2023,348,19.9,5.58,0,1.24,13.19,64.57
2023,349,24.31,5.07,0,2.16,12.97,64.17
2023,350,26.58,8.19,0,2.91,9.87,48.73
2023,351,25.96,6.61,0,2.13,12.54,61.93
